"Strain","value"
"129X1/SvJ",3039.375
"A/J",1517
"AKR/J",6624
"AXB10/PgnJ",2026.95
"AXB12/PgnJ",888
"AXB15/PgnJ",2369.64285714286
"AXB19/PgnJ",1928.33928571429
"AXB19a/PgnJ",1618
"AXB19b/PgnJ",1143.72727272727
"AXB2/PgnJ",1301.25
"AXB4/PgnJ",468.125
"AXB6/PgnJ",857.916666666667
"AXB8/PgnJ",6973.90625
"BALB/cJ",2181.8125
"BTBR T<+> tf/J",2959.38461538462
"BUB/BnJ",2384.28846153846
"BXA1/PgnJ",2808.47222222222
"BXA11/PgnJ",2949
"BXA12/PgnJ",913
"BXA13/PgnJ",522.083333333333
"BXA14/PgnJ",1732.91666666667
"BXA16/PgnJ",1405.625
"BXA2/PgnJ",1904.43333333333
"BXA24/PgnJ",2325.72916666667
"BXA4/PgnJ",431.375
"BXA7/PgnJ",1894.453125
"BXA8/PgnJ",3063.66666666667
"BXD1/TyJ",789.25
"BXD11/TyJ",3653.33333333333
"BXD12/TyJ",2186.925
"BXD13/TyJ",2130.66666666667
"BXD14/TyJ",3777.125
"BXD15/TyJ",893.75
"BXD16/TyJ",11815.625
"BXD19/TyJ",1734.65625
"BXD20/TyJ",2229.73214285714
"BXD21/TyJ",3601.96153846154
"BXD24/TyJ-Cep290<rd16>/J",4747.83333333333
"BXD27/TyJ",3874
"BXD31/TyJ",2762.625
"BXD32/TyJ",4845.9
"BXD34/TyJ",6742.84090909091
"BXD36/TyJ",2384.6875
"BXD38/TyJ",1466.375
"BXD39/TyJ",9556.25
"BXD40/TyJ",2581.54166666667
"BXD43/RwwJ",1920
"BXD44/RwwJ",3889.41666666667
"BXD45/RwwJ",2813.91666666667
"BXD48/RwwJ",1366.07692307692
"BXD49/RwwJ",1984.66666666667
"BXD5/TyJ",3965.25
"BXD50/RwwJ",4005.3
"BXD51/RwwJ",1428.5
"BXD55/RwwJ",1767.4
"BXD56/RwwJ",4187.81818181818
"BXD6/TyJ",1828.04545454545
"BXD60/RwwJ",6223.4
"BXD61/RwwJ",5300
"BXD62/RwwJ",5889.1
"BXD64/RwwJ",4838.27272727273
"BXD66/RwwJ",3015.5
"BXD68/RwwJ",3806.54545454545
"BXD69/RwwJ",7338.5
"BXD70/RwwJ",3184.75
"BXD71/RwwJ",3396.38461538462
"BXD73/RwwJ",1522.28571428571
"BXD74/RwwJ",3242.88888888889
"BXD75/RwwJ",2426.5
"BXD79/RwwJ",2335.66666666667
"BXD8/TyJ",5634.375
"BXD84/RwwJ",4120.75
"BXD85/RwwJ",4560.08333333333
"BXD86/RwwJ",5282.91666666667
"BXD87/RwwJ",886.916666666667
"BXD9/TyJ",6335.78125
"BXH19/TyJ",3092.875
"BXH2/TyJ",1477.5
"BXH20/KccJ",1663.33333333333
"BXH22/KccJ",3280.27083333333
"BXH4/TyJ",3368.4375
"BXH6/TyJ",2424.60714285714
"BXH8/TyJ",2896.42857142857
"BXH9/TyJ",3749.1
"C3H/HeJ",1927.9375
"C57BL/6J",2147.65789473684
"C57BLKS/J",968.272727272727
"C57L/J",2540.29166666667
"C58/J",369.5
"CBA/J",3292.77777777778
"CE/J",7341.5
"CXB11/HiAJ",5770.47916666667
"CXB12/HiAJ",2867.09090909091
"CXB13/HiAJ",1498.95454545455
"CXB3/ByJ",1529.90384615385
"CXB4/ByJ",1879.32692307692
"CXB6/ByJ",1752.02083333333
"CXB7/ByJ",1362.03571428571
"DBA/2J",6819.78846153846
"FVB/NJ",1262.69444444444
"KK/HlJ",6945
"LG/J",2915.875
"LP/J",353
"MA/MyJ",1462.33333333333
"NOD/ShiLtJ",1416.8
"NON/ShiLtJ",2895.23076923077
"NZW/LacJ",1181.22222222222
"PL/J",6545.25
"RIIIS/J",1255.16666666667
"SEA/GnJ",1328.69642857143
"SJL/J",1530.33333333333
"SM/J",1755
"SWR/J",232.772727272727
